"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"lacuracao","lg","tv lg oled ultra hd 4k smart tv ai 65"" oled65e9psa","17999.0","15999.0","65"
"lacuracao","lg","tv lg oled ultra hd 4k smart tv ai 55"" oled55c9psa"," 8999.0"," 7999.0","55"
"lacuracao","lg","tv lg oled ultra hd 4k smart tv ai 65"" oled65c9psa","12999.0","10999.0","65"
"lacuracao","imaco","televisor imaco hd led 19"" led19hd","  449.0","  449.0","19"
"lacuracao","samsung","tv qled samsung curvo ultra hd 4k smart 55"" qn-55q8cna"," 4999.0"," 3299.0","55"
"lacuracao","hyundai","tv led hyundai hd smart 32"" hyled3239intm","  949.0","  949.0","32"
"lacuracao","orizon","tv led orizon hd 24"" or2419k4ip","  449.0","  449.0","24"
"lacuracao","orizon","tv led orizon hd 32"" or3219k4ip","  749.0","  749.0","32"
"lacuracao","orizon","tv led orizon hd smart 32"" or3219k5ip","  849.0","  849.0","32"
"lacuracao","orizon","tv led orizon full hd smart 39"" or3919fk5ip"," 1299.0"," 1299.0","39"
"lacuracao","hisense","tv hisense hd 32"" h3218h4ip","  899.0","  549.0","32"
"lacuracao","hisense","tv led hisense ultra hd smart 65"" h6518uh6ip"," 4299.0"," 2199.0","65"
"lacuracao","panasonic","tv panasonic ultra hd 4k smart tv 43"" tc-43gx500p"," 1699.0"," 1049.0","43"
"lacuracao","panasonic","tv panasonic ultra hd 4k smart tv 50"" tc-50gx500p"," 1899.0"," 1199.0","50"
"lacuracao","panasonic","tv panasonic ultra hd 4k smart tv 55"" tc-55gx500p"," 2199.0"," 1399.0","55"
"lacuracao","imaco","tv imaco led uhd 55isdbt 55"""," 1699.9"," 1699.9","55"
"lacuracao","imaco","tv imaco led uhd 65isdbt 65"""," 2499.9"," 2499.9","65"
