"ecommerce","marca","producto","precio_antes","precio_actual","pulgadas"
"falabella","lg","televisor oled 65"" 4k uhd smart tv oled65b8ssc","17999.0","17999.0","65"
"falabella","panasonic","televisor oled 55"" 4k uhd smart tv tc-55fz950w"," 7499.0"," 4999.0","55"
"falabella","aoc","televisor 32"" hd smart tv le 32s5970s","  799.0","  599.0","32"
"falabella","continental","televisor curvo 50"" 4k uhd smart tv celed98865"," 1699.0"," 1399.0","50"
"falabella","continental","televisor 65"" 4k uhd smart tv celed96965"," 2899.0"," 2499.0","65"
"falabella","imaco","televisor 43"" fhd led43isdbt"," 1199.0"," 1199.0","43"
"falabella","continental","rack tv 13"" a 41""","   29.0","   29.0","13"
"falabella","prima","televisor 39"" fhd smart tv kdl39md662ln"," 1079.0"," 1079.0","39"
"falabella","sony","televisor 55"" 4k uhd smart tv kd-55x755f la8"," 5499.0"," 2399.0","55"
"falabella","philips","televisor 58"" 4k uhd smart tv 58pud6513"," 2599.0"," 1699.0","58"
"falabella","daewoo","televisor led 32"" hd","  599.0","  599.0","32"
"falabella","ddesign","rack para tv 23"" a 46"" + cable hdmi + kit de limpieza",NA,NA,"23"
"falabella","sony","televisor 65"" 4k uhd smart tv xbr65x856f/sla8"," 7499.0"," 3799.0","65"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q8cnagxpe","10999.0"," 5499.0","65"
"falabella","continental","rack con brazo tv 21"" a 42""","  119.0","  119.0","21"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q80ragxpe","12999.0"," 9999.0","65"
"falabella","samsung","televisor 43"" fhd smart tv un43j5202agxpe"," 1399.0","  999.0","43"
"falabella","lg","televisor oled 55"" 4k uhd smart tv oled55b8ssc","12999.0","12999.0","55"
"falabella","panasonic","televisor oled 65"" 4k uhd smart tv tc-65fz1000w","12999.0"," 7999.0","65"
"falabella","aoc","televisor 65"" 4k uhd smart tv 65 u6285"," 3599.0"," 1999.0","65"
"falabella","imaco","dvd portátil de 9'' dvd910p negro","  299.0","  299.0"," 9"
"falabella","samsung","televisor qled 82"" 8k uhd smart tv qn82q900rbgxpe","39999.0","39999.0","82"
"falabella","samsung","televisor 82"" 4k uhd smart tv un82nu8000gxpe","18999.0"," 7999.0","82"
"falabella","imaco","televisor 32"" hd sintonizador led32isbt","  649.0","  649.0","32"
"falabella","continental","rack tv 13"" a 41""","   59.9","   59.9","13"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q70ragxpe"," 9299.0"," 7999.0","65"
"falabella","hyundai","televisor 75"" 4k uhd smart tv hyled7501i4k"," 5499.0"," 2999.0","75"
"falabella","samsung","televisor 55"" 4k uhd smart tv un55nu8500gxpe"," 4999.0"," 3999.0","55"
"falabella","aoc","televisor 50"" 4k uhd smart tv le50u7970s"," 1899.0"," 1199.0","50"
"falabella","panasonic","televisor 43"" 4k uhd smart tv tc-43fx500p"," 1799.0"," 1799.0","43"
"falabella","sony","televisor 65"" 4k uhd smart tv kd-65x735fla8"," 7999.0"," 2999.0","65"
"falabella","hyundai","televisor 32"" hd hyled3236d","  499.0","  499.0","32"
"falabella","aoc","televisor 43"" fhd smart tv 43s5285"," 1299.0","  899.0","43"
"falabella","samsung","led uhd 4k 50"" smart tv un50nu7095gxpe serie nu7095"," 1799.0"," 1199.0","50"
"falabella","samsung","televisor 65"" 4k uhd smart tv un65nu7090gxpe"," 2299.0"," 2199.0","65"
"falabella","samsung","televisor 43"" 4k uhd smart tv un43nu7090gxpe samsung","  999.0","  949.0","43"
"falabella","samsung","led uhd 4k 55"" smart tv un55ru7100gxpe serie ru7100"," 2399.0"," 1799.0","55"
"falabella","lg","televisorled 43"" fhd smart tv 43lk5400psa"," 1149.0"," 1149.0","43"
"falabella","lg","televisor 49"" fhd smart tv 49lk5400psa"," 1399.0","  999.0","49"
"falabella","lg","televisor 49"" 4k uhd smart tv 49uk6200psa"," 1699.0"," 1699.0","49"
"falabella","lg","televisor 55"" 4k uhd smart tv 55uk6200psa"," 2199.0"," 2199.0","55"
"falabella","sony","televisor 55"" 4k uhd smart tv xbr55x805e/sla8"," 4999.0"," 2499.0","55"
"falabella","lg","televisor 65"" 4k uhd smart tv 65uk6350psc"," 7999.0"," 7999.0","65"
"falabella","samsung","led uhd 4k 65"" smart tv un65ru7100gxpe serie ru7100"," 3499.0"," 2799.0","65"
"falabella","lg","televisor 70"" 4k uhd smart tv 70uk6550psa","12999.0","12999.0","70"
"falabella","samsung","televisor 50"" 4k uhd smart tv un50nu7090gxpe"," 1999.0"," 1199.0","50"
"falabella","sony","televisor 49"" 4k uhd smart tv kd-49x725f la8"," 3199.0"," 1649.0","49"
"falabella","aoc","televisor 43"" fhd smart tv le43s5970"," 1299.0","  799.0","43"
"falabella","lg","televisor 49"" fhd smart tv 49lk5700psc"," 2499.0"," 2499.0","49"
"falabella","sony","televisor 55"" 4k uhd smart tv kd-55x725f la8"," 3599.0"," 1899.0","55"
"falabella","samsung","televisor qled 65"" 4k uhd smart tv qn65q6fnagxpe"," 8999.0"," 4999.0","65"
"falabella","lg","televisor 43"" 4k uhd smart tv 43uk6300psb"," 2499.0"," 2499.0","43"
"falabella","samsung","led 65"" ultra hd smart tv curvo"," 8599.0"," 6199.0","65"
"falabella","panasonic","televisor 43"" fhd smart tv tc-43fs500p"," 1499.0","  999.0","43"
"falabella","sony","televisor 48"" fhd smart tv kdl-48w655d"," 2199.0"," 1299.0","48"
"falabella","recco","televisor 43"" hd smart tv rled-l43d1200sm"," 1199.0","  699.0","43"
"falabella","recco","televisor 32"" hd smart tv rled-l32d1200sm","  699.0","  499.0","32"
"falabella","panasonic","televisor 32"" hd tv tc-32fs500","  999.0","  699.0","32"
"falabella","aoc","televisor 24"" hd le24h1351","  499.0","  379.0","24"
"falabella","aoc","televisor 32"" hd le32m1370","  699.0","  499.0","32"
"falabella","sony","televisor 75"" 4k uhd android tv xbr-75x945e la8","17999.0"," 7999.0","75"
